"gene","terms","newTerms"
"YMR290C","nucle;nucleolus;ion;ATP","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;cellular_component;intracellular;cell;nucleus;protein localization;membrane-enclosed lumen;nuclear lumen;macromolecule localization;biological regulation;regulation of biological process;regulation of cellular process;multicellular organismal process;molecular_function;catalytic activity;hydrolase activity;hydrolase activity, acting on acid anhydrides;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;pyrophosphatase activity;nucleoside-triphosphatase activity;ATPase activity;ATPase activity, coupled"
"YDL141W",";protein;ion;","all;biological_process;cellular process;biological regulation;regulation of biological process;metabolic process;macromolecule metabolic process;organic substance metabolic process;nitrogen compound metabolic process;primary metabolic process;regulation of cellular process;multicellular organismal process;cellular metabolic process"
"YDR269C","cellular_component;biological_process;molecular_function","cellular_component;biological_process;molecular_function"
"YDR076W","nucle;ion;repair;ATP","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;biological regulation;regulation of biological process;regulation of cellular process;multicellular organismal process;response to stimulus;response to stress;macromolecule metabolic process;cellular macromolecule metabolic process;cellular response to stimulus;nucleobase-containing compound metabolic process;heterocycle metabolic process;nucleic acid metabolic process;organic cyclic compound metabolic process;molecular_function;catalytic activity;hydrolase activity;hydrolase activity, acting on acid anhydrides;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;pyrophosphatase activity;nucleoside-triphosphatase activity;ATPase activity;ATPase activity, coupled"
"YOR139C","cellular_component;biological_process;molecular_function","cellular_component;biological_process;molecular_function"
"YJL059W",";transport;regulation;ion;molecular_function","all;biological_process;localization;establishment of localization;transport;organic substance transport;molecular_function;transporter activity;transmembrane transporter activity;ion transport;biological regulation;regulation of biological process;cellular process;regulation of cellular process;positive regulation of biological process;negative regulation of biological process;metabolic process;regulation of metabolic process;multicellular organismal process;organic substance metabolic process;cellular metabolic process"
"YMR047C","nucle;cytoplasm;protein;ion;transporter","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;cellular_component;cell;cell part;intracellular;intracellular part;cytoplasm;cytoplasmic part;biological regulation;regulation of biological process;macromolecule metabolic process;regulation of cellular process;multicellular organismal process;molecular_function;transporter activity;transmembrane transporter activity;ion transmembrane transporter activity;inorganic molecular entity transmembrane transporter activity;anion transmembrane transporter activity;organic anion transmembrane transporter activity;organic acid transmembrane transporter activity;carboxylic acid transmembrane transporter activity"
"YNL338W","cellular_component;biological_process;molecular_function","cellular_component;biological_process;molecular_function"
"YGR221C",";;molecular_function","molecular_function"
"YDR247W",";ion;protein;kinase","all;biological_process;biological regulation;cellular process;regulation of biological process;regulation of cellular process;multicellular organismal process;metabolic process;organic substance metabolic process;cellular metabolic process;macromolecule metabolic process;nitrogen compound metabolic process;primary metabolic process;molecular_function;catalytic activity;transferase activity;transferase activity, transferring phosphorus-containing groups;kinase activity;phosphotransferase activity, alcohol group as acceptor"
"YGR274C",";;",""
"YML055W",";protein;targeting;peptidase","all;biological_process;cellular process;biological regulation;regulation of biological process;metabolic process;macromolecule metabolic process;organic substance metabolic process;nitrogen compound metabolic process;primary metabolic process;transport;localization;establishment of localization;cellular localization;establishment of localization in cell;intracellular transport;intracellular protein transport;protein localization;protein transport;peptide transport;macromolecule localization;cellular protein localization;amide transport;establishment of protein localization;cellular macromolecule localization;organic substance transport;nitrogen compound transport;molecular_function;catalytic activity;catalytic activity, acting on a protein;hydrolase activity;peptidase activity;peptidase activity, acting on L-amino acid peptides"
"YPR077C","cellular_component;biological_process;molecular_function","cellular_component;biological_process;molecular_function"
"YML088W","nucle;cytoplasm;protein;catabolic process;","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;cellular_component;cell;cell part;intracellular;intracellular part;cytoplasm;cytoplasmic part;biological regulation;regulation of biological process;macromolecule metabolic process;catabolic process;organic substance catabolic process;cellular catabolic process"
"YLR176C",";negative;regulation;ion;positive;RNA polymerase","all;biological_process;biological regulation;regulation of biological process;negative regulation of biological process;cellular process;regulation of cellular process;negative regulation of cellular process;metabolic process;regulation of metabolic process;positive regulation of biological process;multicellular organismal process;organic substance metabolic process;cellular metabolic process;positive regulation of cellular process;nucleobase-containing compound metabolic process;cellular aromatic compound metabolic process;nitrogen compound metabolic process;RNA metabolic process;cellular nitrogen compound metabolic process;macromolecule metabolic process"
"YLR268W","endoplasm;membrane;transport;ion;receptor","all;biological_process;cellular process;cellular_component;biological regulation;cell;cell part;intracellular;cytoplasm;intracellular part;localization;establishment of localization;transport;molecular_function;transporter activity;transmembrane transporter activity;transmembrane transport;organic substance transport;ion transport;regulation of biological process;regulation of cellular process;multicellular organismal process;metabolic process;organic substance metabolic process;cellular metabolic process;response to stimulus;cellular response to stimulus;signaling"
"YOR011W","membrane;;ATP","all;biological_process;localization;establishment of localization;transport;cellular_component;molecular_function;transporter activity;transmembrane transporter activity;transmembrane transport;catalytic activity;hydrolase activity;hydrolase activity, acting on acid anhydrides;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;pyrophosphatase activity;nucleoside-triphosphatase activity;ATPase activity;ATPase activity, coupled"
"YMR323W",";biological_process;","biological_process"
"YBR128C","membrane;;molecular_function","all;biological_process;localization;establishment of localization;transport;cellular_component;molecular_function;transporter activity;transmembrane transporter activity;transmembrane transport"
"YDL214C","cellular_component;negative;regulation;ion;kinase","cellular_component;all;biological_process;biological regulation;regulation of biological process;negative regulation of biological process;cellular process;regulation of cellular process;negative regulation of cellular process;metabolic process;regulation of metabolic process;positive regulation of biological process;multicellular organismal process;organic substance metabolic process;cellular metabolic process;molecular_function;catalytic activity;transferase activity;transferase activity, transferring phosphorus-containing groups;kinase activity;phosphotransferase activity, alcohol group as acceptor"
"YJR122W","mitochond;;molecular_function","all;biological_process;cellular process;metabolic process;cellular metabolic process;localization;cellular component organization or biogenesis;cellular component organization;organic substance metabolic process;nitrogen compound metabolic process;molecular_function"
"YNL103W","nucle;metabolic process;positive;regulation;ion;transcription","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;small molecule metabolic process;organic cyclic compound metabolic process;biological regulation;regulation of biological process;positive regulation of biological process;regulation of cellular process;positive regulation of cellular process;regulation of metabolic process;negative regulation of biological process;multicellular organismal process;macromolecule metabolic process;nucleobase-containing compound metabolic process"
"YIL044C",";transport;","all;biological_process;localization;establishment of localization;transport;organic substance transport;molecular_function;transporter activity;transmembrane transporter activity;ion transport"
"YHR067W","mitochond;;","all;biological_process;cellular process;metabolic process;cellular metabolic process;localization;cellular component organization or biogenesis;cellular component organization;organic substance metabolic process;nitrogen compound metabolic process"
"YLR395C","mitochond;transport;","all;biological_process;cellular process;metabolic process;cellular metabolic process;localization;cellular component organization or biogenesis;cellular component organization;organic substance metabolic process;nitrogen compound metabolic process;establishment of localization;transport;organic substance transport;molecular_function;transporter activity;transmembrane transporter activity;ion transport"
"YDR312W","nucle;nucleolus;ion;rRNA binding","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;cellular_component;intracellular;cell;nucleus;protein localization;membrane-enclosed lumen;nuclear lumen;macromolecule localization;biological regulation;regulation of biological process;regulation of cellular process;multicellular organismal process;molecular_function;nucleic acid binding;RNA binding;binding;organic cyclic compound binding;heterocyclic compound binding"
"YLR348C","mitochond;transport;transmembrane;transporter","all;biological_process;cellular process;metabolic process;cellular metabolic process;localization;cellular component organization or biogenesis;cellular component organization;organic substance metabolic process;nitrogen compound metabolic process;establishment of localization;transport;organic substance transport;molecular_function;transporter activity;transmembrane transporter activity;ion transport;transmembrane transport;ion transmembrane transporter activity;inorganic molecular entity transmembrane transporter activity;anion transmembrane transporter activity;organic anion transmembrane transporter activity;organic acid transmembrane transporter activity;carboxylic acid transmembrane transporter activity"
"YBR248C",";;",""
"YNR067C","extracellular;ion;","all;biological_process;cellular process;cellular_component;biological regulation;extracellular region;cellular component organization or biogenesis;extracellular region part;regulation of biological process;cellular component organization;regulation of cellular process;multicellular organismal process;metabolic process;organic substance metabolic process;cellular metabolic process"
"YNL152W",";ion;","all;biological_process;biological regulation;cellular process;regulation of biological process;regulation of cellular process;multicellular organismal process;metabolic process;organic substance metabolic process;cellular metabolic process"
"YHR153C","nucle;regulation;ion;positive;protein;molecular_function","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;biological regulation;regulation of biological process;regulation of cellular process;positive regulation of biological process;negative regulation of biological process;regulation of metabolic process;multicellular organismal process;positive regulation of cellular process;macromolecule metabolic process;molecular_function"
"YFL045C","cytosol;cytoplasm;protein;targeting;","all;biological_process;cellular process;localization;transport;establishment of localization;biological regulation;cellular ion homeostasis;cellular calcium ion homeostasis;cellular metal ion homeostasis;cellular_component;cell;cell part;intracellular;intracellular part;cytoplasm;cytoplasmic part;regulation of biological process;metabolic process;macromolecule metabolic process;organic substance metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular localization;establishment of localization in cell;intracellular transport;intracellular protein transport;protein localization;protein transport;peptide transport;macromolecule localization;cellular protein localization;amide transport;establishment of protein localization;cellular macromolecule localization;organic substance transport;nitrogen compound transport"
"YFL010C","nucle;biological_process;molecular_function","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;molecular_function"
"YDR141C",";;molecular_function","molecular_function"
"YJL131C",";ion;","all;biological_process;biological regulation;cellular process;regulation of biological process;regulation of cellular process;multicellular organismal process;metabolic process;organic substance metabolic process;cellular metabolic process"
"YBR117C",";;",""
"YDR083W","nucle;nucleolus;ion;","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;cellular_component;intracellular;cell;nucleus;protein localization;membrane-enclosed lumen;nuclear lumen;macromolecule localization;biological regulation;regulation of biological process;regulation of cellular process;multicellular organismal process"
"YDR168W",";ion;regulation;protein;","all;biological_process;biological regulation;cellular process;regulation of biological process;regulation of cellular process;multicellular organismal process;metabolic process;organic substance metabolic process;cellular metabolic process;positive regulation of biological process;negative regulation of biological process;regulation of metabolic process;macromolecule metabolic process;nitrogen compound metabolic process;primary metabolic process"
"YIR013C","nucle;ion;transcription","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;biological regulation;regulation of biological process;regulation of cellular process;multicellular organismal process;macromolecule metabolic process;nucleobase-containing compound metabolic process"
"YPL071C",";biological_process;molecular_function","biological_process;molecular_function"
"YKL183W",";biological_process;molecular_function","biological_process;molecular_function"
"YLR362W","cytoplasm;ion;protein;regulation;kinase","all;biological_process;cellular_component;cell;cell part;intracellular;intracellular part;cellular process;cytoplasm;cytoplasmic part;biological regulation;regulation of biological process;regulation of cellular process;multicellular organismal process;metabolic process;organic substance metabolic process;cellular metabolic process;macromolecule metabolic process;nitrogen compound metabolic process;primary metabolic process;positive regulation of biological process;negative regulation of biological process;regulation of metabolic process;molecular_function;catalytic activity;transferase activity;transferase activity, transferring phosphorus-containing groups;kinase activity;phosphotransferase activity, alcohol group as acceptor"
"YPL024W","nucle;ion;positive;regulation;","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;biological regulation;regulation of biological process;regulation of cellular process;multicellular organismal process;positive regulation of biological process;positive regulation of cellular process;regulation of metabolic process;negative regulation of biological process"
"YKL134C","mitochond;protein;ion;targeting;peptidase","all;biological_process;cellular process;metabolic process;cellular metabolic process;localization;cellular component organization or biogenesis;cellular component organization;organic substance metabolic process;nitrogen compound metabolic process;biological regulation;regulation of biological process;macromolecule metabolic process;primary metabolic process;regulation of cellular process;multicellular organismal process;transport;establishment of localization;cellular localization;establishment of localization in cell;intracellular transport;intracellular protein transport;protein localization;protein transport;peptide transport;macromolecule localization;cellular protein localization;amide transport;establishment of protein localization;cellular macromolecule localization;organic substance transport;nitrogen compound transport;molecular_function;catalytic activity;catalytic activity, acting on a protein;hydrolase activity;peptidase activity;peptidase activity, acting on L-amino acid peptides"
"YBR273C","nucle;protein;catabolic process;ion;molecular_function","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;biological regulation;regulation of biological process;macromolecule metabolic process;catabolic process;organic substance catabolic process;cellular catabolic process;regulation of cellular process;multicellular organismal process;molecular_function"
"YOR313C",";ion;molecular_function","all;biological_process;biological regulation;cellular process;regulation of biological process;regulation of cellular process;multicellular organismal process;metabolic process;organic substance metabolic process;cellular metabolic process;molecular_function"
"YAL026C",";ion;transport;protein;ATP","all;biological_process;biological regulation;cellular process;regulation of biological process;regulation of cellular process;multicellular organismal process;metabolic process;organic substance metabolic process;cellular metabolic process;localization;establishment of localization;transport;organic substance transport;molecular_function;transporter activity;transmembrane transporter activity;ion transport;macromolecule metabolic process;nitrogen compound metabolic process;primary metabolic process;catalytic activity;hydrolase activity;hydrolase activity, acting on acid anhydrides;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;pyrophosphatase activity;nucleoside-triphosphatase activity;ATPase activity;ATPase activity, coupled"
"YAR060C","cellular_component;biological_process;molecular_function","cellular_component;biological_process;molecular_function"
"YGL237C",";;",""
"YPR094W",";;molecular_function","molecular_function"
"YNL295W","cellular_component;biological_process;molecular_function","cellular_component;biological_process;molecular_function"
"YDR540C",";ion;molecular_function","all;biological_process;biological regulation;cellular process;regulation of biological process;regulation of cellular process;multicellular organismal process;metabolic process;organic substance metabolic process;cellular metabolic process;molecular_function"
"YOL156W","membrane;transport;transmembrane;transporter","all;biological_process;localization;establishment of localization;transport;cellular_component;molecular_function;transporter activity;transmembrane transporter activity;transmembrane transport;organic substance transport;ion transport;ion transmembrane transporter activity;inorganic molecular entity transmembrane transporter activity;anion transmembrane transporter activity;organic anion transmembrane transporter activity;organic acid transmembrane transporter activity;carboxylic acid transmembrane transporter activity"
"YOL129W","membrane;transport;molecular_function","all;biological_process;localization;establishment of localization;transport;cellular_component;molecular_function;transporter activity;transmembrane transporter activity;transmembrane transport;organic substance transport;ion transport"
"YHR130C","cellular_component;biological_process;molecular_function","cellular_component;biological_process;molecular_function"
"YBR182C","nucle;cytoplasm;positive;regulation;ion;transcription","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;cellular_component;cell;cell part;intracellular;intracellular part;cytoplasm;cytoplasmic part;biological regulation;regulation of biological process;positive regulation of biological process;regulation of cellular process;positive regulation of cellular process;regulation of metabolic process;negative regulation of biological process;multicellular organismal process;macromolecule metabolic process;nucleobase-containing compound metabolic process"
"YPL040C","mitochond;ion;tRNA","all;biological_process;cellular process;metabolic process;cellular metabolic process;localization;cellular component organization or biogenesis;cellular component organization;organic substance metabolic process;nitrogen compound metabolic process;biological regulation;regulation of biological process;regulation of cellular process;multicellular organismal process;nucleobase-containing compound metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;macromolecule metabolic process"
"YIL091C","nucle;nucleolus;ion;rRNA binding","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;cellular_component;intracellular;cell;nucleus;protein localization;membrane-enclosed lumen;nuclear lumen;macromolecule localization;biological regulation;regulation of biological process;regulation of cellular process;multicellular organismal process;molecular_function;nucleic acid binding;RNA binding;binding;organic cyclic compound binding;heterocyclic compound binding"
"YPL104W","mitochond;ion;tRNA","all;biological_process;cellular process;metabolic process;cellular metabolic process;localization;cellular component organization or biogenesis;cellular component organization;organic substance metabolic process;nitrogen compound metabolic process;biological regulation;regulation of biological process;regulation of cellular process;multicellular organismal process;nucleobase-containing compound metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;macromolecule metabolic process"
"YLR253W","membrane;mitochond;ion;molecular_function","all;biological_process;localization;establishment of localization;transport;cellular_component;molecular_function;transporter activity;transmembrane transporter activity;transmembrane transport;cellular process;metabolic process;cellular metabolic process;cellular component organization or biogenesis;cellular component organization;organic substance metabolic process;nitrogen compound metabolic process;biological regulation;regulation of biological process;regulation of cellular process;multicellular organismal process"
"YBR215W","nucle;regulation;ion;","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;biological regulation;regulation of biological process;regulation of cellular process;positive regulation of biological process;negative regulation of biological process;regulation of metabolic process;multicellular organismal process"
"YIL106W",";protein;ion;regulation;kinase","all;biological_process;cellular process;biological regulation;regulation of biological process;metabolic process;macromolecule metabolic process;organic substance metabolic process;nitrogen compound metabolic process;primary metabolic process;regulation of cellular process;multicellular organismal process;cellular metabolic process;positive regulation of biological process;negative regulation of biological process;regulation of metabolic process;molecular_function;catalytic activity;transferase activity;transferase activity, transferring phosphorus-containing groups;kinase activity;phosphotransferase activity, alcohol group as acceptor"
"YML127W",";regulation;ion;","all;biological_process;biological regulation;regulation of biological process;cellular process;regulation of cellular process;positive regulation of biological process;negative regulation of biological process;metabolic process;regulation of metabolic process;multicellular organismal process;organic substance metabolic process;cellular metabolic process"
"YLR188W","membrane;mitochond;ion;ATP","all;biological_process;localization;establishment of localization;transport;cellular_component;molecular_function;transporter activity;transmembrane transporter activity;transmembrane transport;cellular process;metabolic process;cellular metabolic process;cellular component organization or biogenesis;cellular component organization;organic substance metabolic process;nitrogen compound metabolic process;biological regulation;regulation of biological process;regulation of cellular process;multicellular organismal process;catalytic activity;hydrolase activity;hydrolase activity, acting on acid anhydrides;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;pyrophosphatase activity;nucleoside-triphosphatase activity;ATPase activity;ATPase activity, coupled"
"YJR108W","cellular_component;ion;molecular_function","cellular_component;all;biological_process;biological regulation;cellular process;regulation of biological process;regulation of cellular process;multicellular organismal process;metabolic process;organic substance metabolic process;cellular metabolic process;molecular_function"
"YGL157W",";biological_process;ADP","biological_process;all;molecular_function;catalytic activity;oxidoreductase activity;oxidoreductase activity, acting on CH-OH group of donors;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor;metabolic process;cellular process;cellular metabolic process"
"YJR093C",";ion;","all;biological_process;biological regulation;cellular process;regulation of biological process;regulation of cellular process;multicellular organismal process;metabolic process;organic substance metabolic process;cellular metabolic process"
"YGR146C","cellular_component;biological_process;molecular_function","cellular_component;biological_process;molecular_function"
"YNL237W","membrane;biological_process;molecular_function","all;biological_process;localization;establishment of localization;transport;cellular_component;molecular_function;transporter activity;transmembrane transporter activity;transmembrane transport"
"YGR077C","membrane;protein;","all;biological_process;localization;establishment of localization;transport;cellular_component;molecular_function;transporter activity;transmembrane transporter activity;transmembrane transport;cellular process;biological regulation;regulation of biological process;metabolic process;macromolecule metabolic process;organic substance metabolic process;nitrogen compound metabolic process;primary metabolic process"
"YJL195C","cellular_component;biological_process;molecular_function","cellular_component;biological_process;molecular_function"
"YDL073W","cellular_component;negative;regulation;ion;kinase","cellular_component;all;biological_process;biological regulation;regulation of biological process;negative regulation of biological process;cellular process;regulation of cellular process;negative regulation of cellular process;metabolic process;regulation of metabolic process;positive regulation of biological process;multicellular organismal process;organic substance metabolic process;cellular metabolic process;molecular_function;catalytic activity;transferase activity;transferase activity, transferring phosphorus-containing groups;kinase activity;phosphotransferase activity, alcohol group as acceptor"
"YDL004W","mitochond;transport;ATP","all;biological_process;cellular process;metabolic process;cellular metabolic process;localization;cellular component organization or biogenesis;cellular component organization;organic substance metabolic process;nitrogen compound metabolic process;establishment of localization;transport;organic substance transport;molecular_function;transporter activity;transmembrane transporter activity;ion transport;catalytic activity;hydrolase activity;hydrolase activity, acting on acid anhydrides;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;pyrophosphatase activity;nucleoside-triphosphatase activity;ATPase activity;ATPase activity, coupled"
"YLR059C","mitochond;;exonuclease activity","all;biological_process;cellular process;metabolic process;cellular metabolic process;localization;cellular component organization or biogenesis;cellular component organization;organic substance metabolic process;nitrogen compound metabolic process;molecular_function;catalytic activity;nuclease activity;hydrolase activity;hydrolase activity, acting on ester bonds"
"YDR507C",";protein;ion;kinase","all;biological_process;cellular process;biological regulation;regulation of biological process;metabolic process;macromolecule metabolic process;organic substance metabolic process;nitrogen compound metabolic process;primary metabolic process;regulation of cellular process;multicellular organismal process;cellular metabolic process;molecular_function;catalytic activity;transferase activity;transferase activity, transferring phosphorus-containing groups;kinase activity;phosphotransferase activity, alcohol group as acceptor"
"YEL007W",";biological_process;molecular_function","biological_process;molecular_function"
"YGR291C","cellular_component;biological_process;molecular_function","cellular_component;biological_process;molecular_function"
"YDR512C","cellular_component;ion;molecular_function","cellular_component;all;biological_process;biological regulation;cellular process;regulation of biological process;regulation of cellular process;multicellular organismal process;metabolic process;organic substance metabolic process;cellular metabolic process;molecular_function"
"YPL248C","nucle;positive;regulation;ion;metabolic process;RNA polymerase;transcription","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;biological regulation;regulation of biological process;positive regulation of biological process;regulation of cellular process;positive regulation of cellular process;regulation of metabolic process;negative regulation of biological process;multicellular organismal process;small molecule metabolic process;organic cyclic compound metabolic process;nucleobase-containing compound metabolic process;RNA metabolic process;macromolecule metabolic process"
"YMR233W",";biological_process;molecular_function","biological_process;molecular_function"
"YNL080C","membrane;endoplasm;protein;ion;molecular_function","all;biological_process;localization;establishment of localization;transport;cellular_component;molecular_function;transporter activity;transmembrane transporter activity;transmembrane transport;cellular process;biological regulation;cell;cell part;intracellular;cytoplasm;intracellular part;regulation of biological process;metabolic process;macromolecule metabolic process;organic substance metabolic process;nitrogen compound metabolic process;primary metabolic process;regulation of cellular process;multicellular organismal process;cellular metabolic process"
"YDR022C",";;molecular_function","molecular_function"
"YPL266W","nucle;cytoplasm;ion;negative;regulation;positive;protein;catabolic process;","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;cellular_component;cell;cell part;intracellular;intracellular part;cytoplasm;cytoplasmic part;biological regulation;regulation of biological process;regulation of cellular process;multicellular organismal process;negative regulation of biological process;negative regulation of cellular process;regulation of metabolic process;positive regulation of biological process;positive regulation of cellular process;macromolecule metabolic process;catabolic process;organic substance catabolic process;cellular catabolic process"
"YLR088W",";protein;","all;biological_process;cellular process;biological regulation;regulation of biological process;metabolic process;macromolecule metabolic process;organic substance metabolic process;nitrogen compound metabolic process;primary metabolic process"
"YGR051C","cellular_component;biological_process;molecular_function","cellular_component;biological_process;molecular_function"
"YOR080W","nucle;ion;regulation;protein;catabolic process;","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;biological regulation;regulation of biological process;regulation of cellular process;multicellular organismal process;positive regulation of biological process;negative regulation of biological process;regulation of metabolic process;macromolecule metabolic process;catabolic process;organic substance catabolic process;cellular catabolic process"
"YGL062W","cytosol;;","all;biological_process;cellular process;localization;transport;establishment of localization;biological regulation;cellular ion homeostasis;cellular calcium ion homeostasis;cellular metal ion homeostasis"
"YER169W","nucle;negative;regulation;ion;histone;positive;transcription;RNA polymerase;histone","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;biological regulation;regulation of biological process;negative regulation of biological process;regulation of cellular process;negative regulation of cellular process;regulation of metabolic process;positive regulation of biological process;multicellular organismal process;chromatin organization;organelle organization;cellular component organization;chromosome organization;cellular component organization or biogenesis;macromolecule metabolic process;positive regulation of cellular process;nucleobase-containing compound metabolic process;RNA metabolic process"
"YOL016C",";protein;ion;kinase","all;biological_process;cellular process;biological regulation;regulation of biological process;metabolic process;macromolecule metabolic process;organic substance metabolic process;nitrogen compound metabolic process;primary metabolic process;regulation of cellular process;multicellular organismal process;cellular metabolic process;molecular_function;catalytic activity;transferase activity;transferase activity, transferring phosphorus-containing groups;kinase activity;phosphotransferase activity, alcohol group as acceptor"
"YOR226C","mitochond;ion;molecular_function","all;biological_process;cellular process;metabolic process;cellular metabolic process;localization;cellular component organization or biogenesis;cellular component organization;organic substance metabolic process;nitrogen compound metabolic process;biological regulation;regulation of biological process;regulation of cellular process;multicellular organismal process;molecular_function"
"YEL025C",";biological_process;molecular_function","biological_process;molecular_function"
"YNL186W","nucle;nucleolus;histone;ion;protein;","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;cellular_component;intracellular;cell;nucleus;protein localization;membrane-enclosed lumen;nuclear lumen;macromolecule localization;chromatin organization;organelle organization;cellular component organization;chromosome organization;cellular component organization or biogenesis;macromolecule metabolic process;biological regulation;regulation of biological process;regulation of cellular process;multicellular organismal process"
"YBL063W",";ion;","all;biological_process;biological regulation;cellular process;regulation of biological process;regulation of cellular process;multicellular organismal process;metabolic process;organic substance metabolic process;cellular metabolic process"
"YMR146C","cytoplasm;ion;","all;biological_process;cellular_component;cell;cell part;intracellular;intracellular part;cellular process;cytoplasm;cytoplasmic part;biological regulation;regulation of biological process;regulation of cellular process;multicellular organismal process;metabolic process;organic substance metabolic process;cellular metabolic process"
"YCR060W",";protein;","all;biological_process;cellular process;biological regulation;regulation of biological process;metabolic process;macromolecule metabolic process;organic substance metabolic process;nitrogen compound metabolic process;primary metabolic process"
"YBR016W","membrane;biological_process;molecular_function","all;biological_process;localization;establishment of localization;transport;cellular_component;molecular_function;transporter activity;transmembrane transporter activity;transmembrane transport"
"YPR116W",";;molecular_function","molecular_function"
"YOR198C","cytoplasm;endoplasm;nucle;membrane;regulation;ion;metabolic process;","all;biological_process;cellular_component;cell;cell part;intracellular;intracellular part;cellular process;cytoplasm;cytoplasmic part;biological regulation;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;localization;establishment of localization;transport;molecular_function;transporter activity;transmembrane transporter activity;transmembrane transport;regulation of biological process;regulation of cellular process;positive regulation of biological process;negative regulation of biological process;regulation of metabolic process;multicellular organismal process;small molecule metabolic process;organic cyclic compound metabolic process"
